Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB A743:SetPosFromHike(E0 18)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(E4 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LILB A753:SetPosFromHike(00 18)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(FC 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB AB8C:SetPosFromHike(18 0C)	 2pt	 JumpTo AAC5:F7(30)		 E2(08)	 E3(08)	 LoopBack F1	 FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RCB A773:SetPosFromMid(36 28)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D9-MoveAbsolute(36 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB A783:SetPosFromMid(C0 28)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D9-MoveAbsolute(C0 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS A793:SetPosFromHike(C8 50)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(C4 C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
SS A7A3:SetPosFromHike(18 50)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(24 C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
																															
																															
Defense: 68																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB A3D4:SetPosFromHike(C8 10)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(E0 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A3E1:SetPosFromHike(E0 18)	 2pt	 F3-Pause(14)		 D8-MoveAbsolute(F0 D0)	 F3-Pause(5A)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB A3EF:SetPosFromHike(00 18)	 2pt	 F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB AB93:SetPosFromMid(36 28)	 2pt	 2B-JumpTo AB9E:D8-MoveAbsolute(DC D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 01)	 D8-MoveAbsolute(DC D8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
LCB A300:SetPosFromMid(C0 28)	 2pt	 MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																									
FS A38A:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A395:D8-MoveAbsolute(08 B8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 04)	 D8-MoveAbsolute(08 B8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
SS A39B:SetPosFromHike(18 50)	 2pt	 F4-Pause(14)		 D8-MoveAbsolute(E8 81)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
																															
																															
Defense: 69																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB A3D4:SetPosFromHike(C8 10)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(E0 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A3E1:SetPosFromHike(E0 18)	 2pt	 F3-Pause(14)		 D8-MoveAbsolute(F0 D0)	 F3-Pause(5A)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB ABA4:SetPosFromHike(00 18)	 2pt	 2B-JumpTo A3F3:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	Grapple ALL	 DA-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 C0)	 F4-Pause(3C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
LOLB A9F0:SetPosFromHike(18 0C)	 2pt	 C8-Move(DC AA 0A)		 D8-MoveAbsolute(28 00)	 D8-MoveAbsolute(28 D8)	 D8-MoveAbsolute(00 B8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RCB AB93:SetPosFromMid(36 28)	 2pt	 2B-JumpTo AB9E:D8-MoveAbsolute(DC D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// C8-Move(D8 AA 01)	 D8-MoveAbsolute(DC D8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																							
LCB A300:SetPosFromMid(C0 28)	 2pt	 MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																									
FS AA83:SetPosFromHike(C8 50)	 2pt	 29-JumpTo AA6F:C8-Move(D8 AA 03)		 D8-MoveAbsolute(B8 D8)	 F5-Pause(0A 46)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// 																						
SS AA04:SetPosFromHike(18 50)	 2pt	 D8-MoveAbsolute(E8 98)		 D8-MoveAbsolute(B8 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
																															
																															
Defense: 6A																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB A3D4:SetPosFromHike(C8 10)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(E0 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB ABB3:SetPosFromHike(E0 18)	 2pt	 2C-JumpTo A3E5:F3-Pause(14)		 D8-MoveAbsolute(F0 D0)	 F3-Pause(5A)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// F5-Pause(0A 32)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
LILB AAE0:SetPosFromHike(00 18)	 2pt	 29-JumpTo A37F:26-JumpTo A345:27-JumpTo A353:F4-Pause(3C)		 D8-MoveAbsolute(10 C8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(F8 C8)	 D8-MoveAbsolute(E8 C0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(F0 D0)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AAC2:VertMirror	 LoopBack FF// 																
LOLB A9A9:SetPosFromHike(18 0C)	 2pt	 F5-Pause(14 5A)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
RCB ADBB:SetPosFromMid(36 28)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
LCB A300:SetPosFromMid(C0 28)	 2pt	 MoveRelative(00 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																									
FS AA8D:SetPosFromHike(C8 50)	 2pt	 C8-Move(D8 AA 07)		 2B-JumpTo AAA0:D8-MoveAbsolute(B8 90)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// D8-MoveAbsolute(C0 C0)	 F3-Pause(50)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
SS AAA6:SetPosFromHike(18 50)	 2pt	 JumpTo AAC2:VertMirror		 LoopBack FF// 																											
																															
																															
Defense: 6B																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A3A7:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(EA F8)		 D8-MoveAbsolute(E4 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A32A:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
ROLB A1BD:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C0 00)		 D8-MoveAbsolute(C0 28)	 F4-Pause(19)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
RILB A3B4:SetPosFromHike(E0 18)	 2pt	 F3-Pause(3C)		 D8-MoveAbsolute(F0 D0)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LILB A3C0:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(F0 06)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LOLB A3CA:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(14 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
RCB ADBB:SetPosFromMid(36 28)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
LCB A1FD:SetPosFromMid(C0 28)	 2pt	 D8-MoveAbsolute(0C E0)		 F4-Pause(50)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
FS A7DE:SetPosFromHike(C8 50)	 2pt	 2A-JumpTo A7EB:D8-MoveAbsolute(D0 D8)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// MoveRelative(30 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
SS A216:SetPosFromHike(18 50)	 2pt	 C8-Move(D8 AA 02)		 D8-MoveAbsolute(00 B0)	 F4-Pause(78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
																															
																															
Defense: 6C																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A3A7:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(EA F8)		 D8-MoveAbsolute(E4 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A32A:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
ROLB A888:SetPosFromHike(C8 10)	 2pt	 C8-Move(DC AA 0A)		 D8-MoveAbsolute(BC D8)	 D8-MoveAbsolute(BC 81)	 MoveRelative(40 C0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RILB A7CE:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(D8 E0)		 D8-MoveAbsolute(D8 C8)	 D8-MoveAbsolute(00 A0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB A7B3:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(08 D0)		 F4-Pause(28)	 JumpTo AAC2:VertMirror	 LoopBack FF// 																									
LOLB A3CA:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(14 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
RCB A846:SetPosFromMid(36 28)	 2pt	 29-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 27-JumpTo A1F7:D8-MoveAbsolute(E8 C0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A7C3:E3(04)	 D9-MoveAbsolute(36 B0)	 MoveRelative(40 B8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
LCB A1FD:SetPosFromMid(C0 28)	 2pt	 D8-MoveAbsolute(0C E0)		 F4-Pause(50)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
FS A853:SetPosFromHike(C8 50)	 2pt	 24-JumpTo A20D:MoveRelative(30 C0)		 MoveRelative(40 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A7E5:MoveRelative(30 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
SS A216:SetPosFromHike(18 50)	 2pt	 C8-Move(D8 AA 02)		 D8-MoveAbsolute(00 B0)	 F4-Pause(78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
																															
																															
Defense: 6D																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A3A7:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(EA F8)		 D8-MoveAbsolute(E4 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A32A:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
ROLB A888:SetPosFromHike(C8 10)	 2pt	 C8-Move(DC AA 0A)		 D8-MoveAbsolute(BC D8)	 D8-MoveAbsolute(BC 81)	 MoveRelative(40 C0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RILB A85D:SetPosFromHike(E0 18)	 2pt	 2A-JumpTo A7D2:D8-MoveAbsolute(D8 E0)		 D8-MoveAbsolute(D8 C8)	 D8-MoveAbsolute(00 A0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A7F5:D8-MoveAbsolute(F0 C8)	 D8-MoveAbsolute(10 C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
LILB A867:SetPosFromHike(00 18)	 2pt	 2A-JumpTo A7B7:D8-MoveAbsolute(08 D0)		 F4-Pause(28)	 JumpTo AAC2:VertMirror	 LoopBack FF// JumpTo A802:D8-MoveAbsolute(08 F0)	 JumpTo AAC2:VertMirror	 LoopBack FF// 																							
LOLB A3CA:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(14 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
RCB A826:SetPosFromMid(36 28)	 2pt	 24-JumpTo A1F7:D8-MoveAbsolute(E8 C0)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A7C3:E3(04)	 D9-MoveAbsolute(36 B0)	 MoveRelative(40 B8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
LCB A871:SetPosFromMid(C0 28)	 2pt	 27-JumpTo A80C:D8-MoveAbsolute(0C E0)		 F5-Pause(01 28)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// F5-Pause(50 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS A209:SetPosFromHike(C8 50)	 2pt	 MoveRelative(30 C0)		 MoveRelative(40 00)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
SS A87E:SetPosFromHike(18 50)	 2pt	 2C-JumpTo A21A:C8-Move(D8 AA 02)		 D8-MoveAbsolute(00 B0)	 F4-Pause(78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo A819:MoveRelative(08 D0)	 F3-Pause(01)	 FaceDirection(00)	 F5-Pause(01 28)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																	
																															
																															
Defense: 6E																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A11D:SetPosFromHike(F0 08)	 3pt	 FC(00 80)		 D8-MoveAbsolute(E8 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A12A:SetPosFromHike(08 08)	 3pt	 FC(00 20)		 D8-MoveAbsolute(10 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BD19:SetPosFromHike(C8 10)	 2pt	 29-JumpTo A13B:D8-MoveAbsolute(CC 10)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 JumpTo A13B:D8-MoveAbsolute(CC 10)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A14B:SetPosFromHike(00 18)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(04 F0)	 D8-MoveAbsolute(04 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
LOLB ADB4:SetPosFromHike(18 0C)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
RCB ADBB:SetPosFromMid(36 28)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
LCB ADC2:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																										
FS ADCD:SetPosFromHike(C8 50)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
SS ADD4:SetPosFromHike(18 50)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
																															
																															
Defense: 6F																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A11D:SetPosFromHike(F0 08)	 3pt	 FC(00 80)		 D8-MoveAbsolute(E8 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A12A:SetPosFromHike(08 08)	 3pt	 FC(00 20)		 D8-MoveAbsolute(10 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BD19:SetPosFromHike(C8 10)	 2pt	 29-JumpTo A13B:D8-MoveAbsolute(CC 10)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 JumpTo A13B:D8-MoveAbsolute(CC 10)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A14B:SetPosFromHike(00 18)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(04 F0)	 D8-MoveAbsolute(04 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
LOLB ABC0:SetPosFromHike(18 0C)	 2pt	 27-JumpTo BDEC:F4-Pause(00)		 LoopBack FE// D8-MoveAbsolute(18 C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
RCB ABCD:SetPosFromMid(36 28)	 2pt	 F5-Pause(0A 5A)		 27-JumpTo ABDD:D8-MoveAbsolute(D8 DC)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(C0 B0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LCB ABE3:SetPosFromMid(C0 28)	 2pt	 F5-Pause(0A 5A)		 27-JumpTo ABF3:D8-MoveAbsolute(20 DC)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(30 B0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS ABF9:SetPosFromHike(C8 50)	 2pt	 F5-Pause(0A 5A)		 27-JumpTo AC07:27-JumpTo AC10:D8-MoveAbsolute(F0 A8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(D8 AA 01)	 27-JumpTo AC10:D8-MoveAbsolute(F0 A8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 														
SS AC16:SetPosFromHike(18 50)	 2pt	 F5-Pause(0A 5A)		 27-JumpTo AC24:27-JumpTo AC2D:D8-MoveAbsolute(10 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(00 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(D8 AA 03)	 27-JumpTo AC2D:D8-MoveAbsolute(10 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(00 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 														
																															
																															
Defense: 70																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A11D:SetPosFromHike(F0 08)	 3pt	 FC(00 80)		 D8-MoveAbsolute(E8 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A12A:SetPosFromHike(08 08)	 3pt	 FC(00 20)		 D8-MoveAbsolute(10 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BD19:SetPosFromHike(C8 10)	 2pt	 29-JumpTo A13B:D8-MoveAbsolute(CC 10)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 JumpTo A13B:D8-MoveAbsolute(CC 10)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A14B:SetPosFromHike(00 18)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(04 F0)	 D8-MoveAbsolute(04 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
LOLB A15B:SetPosFromHike(18 0C)	 2pt	 F4-Pause(14)		 D8-MoveAbsolute(10 E8)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
RCB AC33:SetPosFromMid(36 28)	 2pt	 2B-JumpTo ABD4:27-JumpTo ABDD:D8-MoveAbsolute(D8 DC)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(C0 B0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo ACF1:D8-MoveAbsolute(D0 F0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
LCB A176:SetPosFromMid(C0 28)	 2pt	 F3-Pause(0A)		 D8-MoveAbsolute(F0 E8)	 D8-MoveAbsolute(F0 00)	 JumpTo BDE8:F3-Pause(00)	 LoopBack FE// 																								
FS AC3D:SetPosFromHike(C8 50)	 2pt	 2B-JumpTo AC00:27-JumpTo AC07:27-JumpTo AC10:D8-MoveAbsolute(F0 A8)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(D8 AA 01)	 27-JumpTo AC10:D8-MoveAbsolute(F0 A8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 													
SS AC47:SetPosFromHike(18 50)	 2pt	 2B-JumpTo AC1D:27-JumpTo AC24:27-JumpTo AC2D:D8-MoveAbsolute(10 90)		 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(00 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(D8 AA 03)	 27-JumpTo AC2D:D8-MoveAbsolute(10 90)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(00 D0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 													
																															
																															
Defense: 71																															
																															
RE A29B:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(E8 00)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
NT A2A5:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F8 F8)		 D8-MoveAbsolute(00 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LE A3FB:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(14 00)		 D8-MoveAbsolute(14 0C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB A2B2:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C4 F8)		 D8-MoveAbsolute(C4 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A2BF:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(F0 F0)		 D8-MoveAbsolute(F0 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
LILB A14B:SetPosFromHike(00 18)	 2pt	 FC(FF E0)		 D8-MoveAbsolute(04 F0)	 D8-MoveAbsolute(04 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
LOLB A2E1:SetPosFromHike(18 0C)	 2pt	 2B-JumpTo A2EC:D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// C8-Move(DC AA 06)	 D8-MoveAbsolute(28 00)	 D8-MoveAbsolute(28 28)	 F4-Pause(14)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																	
RCB A2F7:SetPosFromMid(36 28)	 2pt	 F4-Pause(14)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																										
LCB ADC2:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																										
